GeneID	Classification	Specific tissues	Tau
F8388_000017	Expressed-In-All		0.602356807256919
F8388_000035	Expressed-In-All		0.88388579376894
F8388_000047	Low_expressed		
F8388_000155	Low_expressed		
F8388_000187	Low_expressed		
F8388_000201	Low_expressed		
F8388_000591	Tissue-Specific	Trichome	0.999509130853847
F8388_000592	Tissue-Specific	Trichome	0.999488660351245
F8388_000595	Tissue-Specific	Trichome	0.998396001296631
F8388_000798	Group-Enriched	Hypocotyl; Root	0.953458287031652
F8388_000800	Group-Enriched	Hypocotyl; Root	0.862784460756454
F8388_000879	Low_expressed		
F8388_000949	Low_expressed		
F8388_000953	Tissue-Specific	Root	0.960537241703979
F8388_000961	Mixed		0.887729255408076
F8388_000990	Tissue-Specific	Root	0.997597612351894
F8388_001108	Expressed-In-All		0.303920356910235
F8388_001109	Tissue-Specific	Root	0.983872652521565
F8388_001111	Expressed-In-All		0.665708094579738
F8388_001228	Tissue-Specific	Induced_male_flower	0.892707663570222
F8388_001281	Low_expressed		
F8388_001282	Low_expressed		
F8388_001297	Tissue-Specific	Hypocotyl	0.933795280568266
F8388_001332	Group-Enriched	Seed; Leaf	0.893628187099243
F8388_001376	Low_expressed		
F8388_001470	Expressed-In-All		0.842029219543376
F8388_001604	Low_expressed		
F8388_001605	Low_expressed		
F8388_001658	Mixed		0.871603898971575
F8388_001769	Tissue-Specific	Root	0.922228794825144
F8388_001905	Tissue-Specific	Root	0.912380794399092
F8388_001906	Low_expressed		
F8388_001907	Tissue-Specific	Root	0.985638023380034
F8388_002090	Housekeeping		0.325900291912549
F8388_002117	Group-Enriched	Root; Hypocotyl	0.96865374612541
F8388_002133	Tissue-Specific	Hypocotyl	0.985707571878152
F8388_002247	Group-Enriched	Hypocotyl; Root	0.942704894084584
F8388_002262	Tissue-Specific	Trichome	0.993716409380049
F8388_002264	Expressed-In-All		0.495296571795291
F8388_002265	Mixed		0.747671005788912
F8388_002266	Mixed		0.760599148595281
F8388_002316	Tissue-Specific	Root	0.90385619878833
F8388_002319	Mixed		0.83689580432472
F8388_002321	Tissue-Specific	Root	0.958376371401102
F8388_002322	Group-Enriched	Induced_male_flower; Bast_Fibre	0.848813135323364
F8388_002324	Tissue-Specific	Root	1
F8388_002389	Mixed		0.804759249910013
F8388_002422	Expressed-In-All		0.877761894170618
F8388_002427	Tissue-Specific	Stem	0.965901260321191
F8388_002584	Mixed		0.862680593676766
F8388_002816	Low_expressed		
F8388_002878	Expressed-In-All		0.425591814312614
F8388_002897	Mixed		0.549444289392154
F8388_003028	Expressed-In-All		0.621654372622771
F8388_003029	Mixed		0.683373593061755
F8388_003032	Low_expressed		
F8388_003076	Mixed		0.854976861219028
F8388_003093	Tissue-Specific	Root	0.994731058823004
F8388_003095	Tissue-Specific	Root	0.998511680321988
F8388_003098	Low_expressed		
F8388_003109	Expressed-In-All		0.350445897121883
F8388_003595	Expressed-In-All		0.789634611384316
F8388_003772	Mixed		0.690892792698104
F8388_003810	Mixed		0.615283481233866
F8388_003811	Mixed		0.749275812030663
F8388_003855	Tissue-Specific	Induced_male_flower	0.994120430049409
F8388_003895	Expressed-In-All		0.687560495371878
F8388_003903	Tissue-Specific	Root	0.929807260898119
F8388_003906	Expressed-In-All		0.670039292125415
F8388_003973	Expressed-In-All		0.624540164427105
F8388_003981	Mixed		0.76864497489101
F8388_004217	Low_expressed		
F8388_004218	Low_expressed		
F8388_004219	Mixed		0.817445492393174
F8388_004220	Low_expressed		
F8388_004224	Mixed		0.799176954065368
F8388_004280	Low_expressed		
F8388_004286	Low_expressed		
F8388_004847	Low_expressed		
F8388_005008	Tissue-Specific	Root	0.995300486732954
F8388_005038	Mixed		0.848801434321414
F8388_005039	Expressed-In-All		0.561641711999496
F8388_005040	Expressed-In-All		0.838519855309465
F8388_005042	Expressed-In-All		0.481855499009673
F8388_005057	Tissue-Specific	Root	0.898384336046597
F8388_005058	Mixed		0.764683641258555
F8388_005201	Expressed-In-All		0.322121653406235
F8388_005332	Mixed		0.818899241295186
F8388_005362	Mixed		0.838330207334204
F8388_005366	Mixed		0.884056548859948
F8388_005433	Mixed		0.794786365285464
F8388_005510	Tissue-Specific	Seed	0.921345438027645
F8388_005697	Mixed		0.868846967783265
F8388_006076	Expressed-In-All		0.29424049554543
F8388_006114	Mixed		0.836961336863013
F8388_006116	Tissue-Specific	Root	0.986113979357154
F8388_006118	Tissue-Specific	Hypocotyl	0.935503806107932
F8388_006122	Tissue-Specific	Seed	0.925126130026811
F8388_006123	Group-Enriched	Hypocotyl; Root	0.915140897852231
F8388_006126	Tissue-Specific	Hypocotyl	0.961574932572152
F8388_006128	Mixed		0.855554415475802
F8388_006141	Tissue-Specific	Trichome	0.986758593820494
F8388_006185	Tissue-Specific	Seed	0.998120801750003
F8388_006236	Expressed-In-All		0.625978075236712
F8388_006246	Tissue-Specific	Trichome	0.922429934980744
F8388_006247	Mixed		0.816374130142264
F8388_006249	Mixed		0.867271828359024
F8388_006278	Tissue-Specific	Root	0.90401056152664
F8388_006422	Mixed		0.816365717265327
F8388_006454	Mixed		0.739515103114092
F8388_006509	Expressed-In-All		0.442873900382884
F8388_006511	Mixed		0.596110568859162
F8388_006646	Expressed-In-All		0.769396008911453
F8388_006650	Mixed		0.88883245601896
F8388_006783	Expressed-In-All		0.710076974680804
F8388_006784	Expressed-In-All		0.748447974749031
F8388_006854	Expressed-In-All		0.355901616780354
F8388_007068	Group-Enriched	Root; Seed	0.958260115087856
F8388_007069	Expressed-In-All		0.496891422435256
F8388_007071	Expressed-In-All		0.54394518311792
