family	meme_evaluable	n_sequences	n_motifs	meme_version	model_file	model_xml_sha256	historical_command
adh	true	83	10	5.5.9	motifs/meme/adh.xml.gz	e2827b79743f89dc7053e5260723a14f1c92553ba86790061db3e14ffa7ca442	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/adh_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/adh/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
alliinase	true	10	10	5.5.9	motifs/meme/alliinase.xml.gz	bc633b2064dd712d7c3a813b505183fa1b55fafcae9c609bb74416168e18a071	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/alliinase_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/alliinase/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
aoc	true	6	10	5.5.9	motifs/meme/aoc.xml.gz	a3c8d690bb19367db1f0629f0b7b44a9ecbc7d5aa1cd40fae43a92d786a731f6	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/aoc_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/aoc/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
aos_hpl	true	359	10	5.5.9	motifs/meme/aos_hpl.xml.gz	9efcfc64f04c75b087846165b7d7cde479be90777c5b08136a8016a259a618cc	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/aos_hpl_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/aos_hpl/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 180964 -p 4
cbl	true	2	10	5.5.9	motifs/meme/cbl.xml.gz	eedbb226ffe3e5c197cdf60e0acd83a2fd011b7d5607b401b6bd84478e8d82bd	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/cbl_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/cbl/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
cgs	true	2	10	5.5.9	motifs/meme/cgs.xml.gz	f876ed41c157fa19b140a75b634715869401cdde7c41ea251bfce899c5829d61	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/cgs_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/cgs/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
fmo	true	42	10	5.5.9	motifs/meme/fmo.xml.gz	b80e1b5ac5f4e3635a5a9d64e4490d636739990472d5ca55ee0a4a44e6777dc1	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/fmo_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/fmo/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
ggt	true	5	10	5.5.9	motifs/meme/ggt.xml.gz	f41182a31fbd27cae8a8238b045fef3acb79501eb30816795ab83522736daa9d	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/ggt_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/ggt/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
gsh1	true	2	10	5.5.9	motifs/meme/gsh1.xml.gz	ffed808e2e89a7a99f71645c3c28aface5194792bd462b1994e30f94120e6a57	meme /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/resolved_input/gsh1_candidates.fasta -protein -oc /workspaces/CannamatrixAI/synthase_features/pipeline/results_v2/2_meme_validation/output/gsh1/meme_discovery -nmotifs 10 -minw 6 -maxw 50 -mod zoops -nostatus -maxsize 100000 -p 4
gsh2	false	1	0	5.5.9			singleton passthrough; MEME/FIMO not run
