gene_id	family	source	discovery_round	sequence_scope	matched_protein_id	hmmer_score	hmmer_evalue	length	original_family	resolution_group	family_resolution_method	family_resolution_status	nearest_reference_id	nearest_reference_family	meme_status	meme_status_quality_aware	motif_support_quality	singleton_passthrough	meme_evaluable	meme_biological_pass	meme_operational_pass	meme_pass	pfam_pass	pfam_status	stability_pass	selection_annotated	contamination_pass	pfam_gate_active	stability_gate_active	contamination_gate_active	final_pass
GMO.00002805.v1.g688570.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002805.v1.g688570.t1	118.2	6.6e-33	407							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000855.v1.g078750.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00000855.v1.g078750.t1	117.7	9.5e-33	326							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002523.v1.g604250.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002523.v1.g604250.t1	117.6	1.1e-32	407							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g463250.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002319.v1.g463250.t1	115.6	4.3e-32	326							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001311.v1.g148430.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00001311.v1.g148430.t2	104.3	1.2e-28	347							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002500.v1.g571420.t2	ADH	proteome_v1_exact	round1	full_length	GMO.00002500.v1.g571420.t2	104.3	1.2e-28	347							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002592.v1.g625510.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002592.v1.g625510.t1	100.9	1.3e-27	357							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002283.v1.g429570.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00002283.v1.g429570.t1	100.1	2.3e-27	357							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000895.v1.g083680.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00000895.v1.g083680.t1	99.2	4.4e-27	357							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000895.v1.g085880.t1	ADH	proteome_v1_exact	round1	full_length	GMO.00000895.v1.g085880.t1	99.1	4.6e-27	356							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
