query_acc	subject_acc	p_identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	family_slug	Classification	Specific tissues	Tau	query_length	query_coverage
GMO.00000332.v1.g008280.t1	F8388_022263	100.0	418	0	0	8	425	1	418	0.0	862	fmo	Mixed		0.789588902364181	426	0.9812206572769953
GMO.00000395.v1.g009830.t1	F8388_002816	100.0	488	0	0	1	488	1	488	0.0	1008	ugt	Low_expressed			489	0.9979550102249489
GMO.00000552.v1.g021570.t1	F8388_002584	100.0	517	0	0	1	517	1	517	0.0	1066	aos_hpl	Mixed		0.862680593676766	518	0.9980694980694981
GMO.00000555.v1.g022860.t1	F8388_006126	100.0	509	0	0	1	509	1	509	0.0	1055	aos_hpl	Tissue-Specific	Hypocotyl	0.961574932572152	510	0.9980392156862745
GMO.00000574.v1.g027720.t1	F8388_011845	100.0	204	0	0	1	204	1	204	5.74e-153	421	lf_synthase	Group-Enriched	Root; Seed	0.92486704404448	205	0.9951219512195122
GMO.00000574.v1.g029490.t2	F8388_018172	100.0	432	0	0	1	432	111	542	0.0	896	aos_hpl	Mixed		0.784973577445116	433	0.9976905311778291
GMO.00000574.v1.g030570.t2	F8388_020643	100.0	324	0	0	1	324	77	400	0.0	664	adh	Tissue-Specific	Trichome	0.957973609132681	325	0.9969230769230769
GMO.00000574.v1.g031970.t1	F8388_020489	100.0	157	0	0	13	169	1	157	2e-118	331	lf_synthase	Low_expressed			170	0.9235294117647059
GMO.00000574.v1.g032780.t1	F8388_012797	100.0	488	0	0	1	488	1	488	0.0	1012	fmo	Mixed		0.844014304929324	489	0.9979550102249489
GMO.00000644.v1.g043570.t1	F8388_003076	100.0	478	0	0	1	478	1	478	0.0	995	fmo	Mixed		0.854976861219028	479	0.9979123173277662
GMO.00000684.v1.g046510.t1	F8388_003029	100.0	160	0	0	1	160	1	160	6.3e-115	322	aos_hpl	Mixed		0.683373593061755	161	0.9937888198757764
GMO.00000684.v1.g046560.t1	F8388_003028	100.0	360	0	0	1	360	155	514	0.0	743	aos_hpl	Expressed-In-All		0.621654372622771	361	0.997229916897507
GMO.00000693.v1.g047300.t1	F8388_002427	100.0	500	0	0	1	500	1	500	0.0	1023	aos_hpl	Tissue-Specific	Stem	0.965901260321191	501	0.998003992015968
GMO.00000720.v1.g052220.t1	F8388_022889	100.0	237	0	0	1	237	1	237	1.12e-178	489	gst	Expressed-In-All		0.426032107189754	238	0.9957983193277311
GMO.00000720.v1.g055740.t2	F8388_017395	100.0	461	0	0	1	461	4	464	0.0	958	fmo	Expressed-In-All		0.482750115362426	462	0.9978354978354979
GMO.00000720.v1.g055880.t1	F8388_017400	100.0	512	0	0	1	512	1	512	0.0	1046	ugt	Tissue-Specific	Trichome	0.986564540206001	513	0.9980506822612085
GMO.00000748.v1.g065690.t1	F8388_015330	100.0	249	0	0	1	249	1	249	0.0	505	aoc	Expressed-In-All		0.571163254309602	250	0.996
GMO.00000748.v1.g065700.t1	F8388_015329	100.0	183	0	0	1	183	1	183	2.0899999999999998e-137	380	aoc	Mixed		0.650422496846792	184	0.9945652173913043
GMO.00000827.v1.g069550.t1	F8388_027212	100.0	222	0	0	1	222	79	300	3.4999999999999997e-165	457	gst	Expressed-In-All		0.758015272038975	223	0.9955156950672646
GMO.00000827.v1.g069560.t1	F8388_027211	100.0	222	0	0	1	222	1	222	4.1400000000000004e-166	456	gst	Tissue-Specific	Root	0.986240333816503	223	0.9955156950672646
