biochemical_context	target_bin	pipeline_family	discovery_round	reporting_category	pfam_profiles	full_length_reference_queries	reference_species	candidate_admission_rule	post_search_resolution	notes	source_input_paths
Sulfur amino-acid and glutathione supply	SAMS	SAMS	round2	sams	PF00438.26;PF02772.22;PF02773.22	Q9AT56/METK1_ELAUM/SV1	Elaeagnus umbellata	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/SAMS/PF00438.hmm;synthase_features/hmmer_results/VSC/round2_results/SAMS/PF02772.hmm;synthase_features/hmmer_results/VSC/round2_results/SAMS/PF02773.hmm;synthase_features/hmmer_results/VSC/round2_results/SAMS/METK1_ELAUM.fasta
Sulfur amino-acid and glutathione supply	CBL	CBL	round2	cbl	PF01053.27	P53780/METC_ARATH/SV1	Arabidopsis thaliana	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	joint PF01053 maximum-likelihood phylogeny followed by nearest-reference assignment		synthase_features/hmmer_results/VSC/round2_results/CBL/PF01053.hmm;synthase_features/hmmer_results/VSC/round2_results/CBL/METC_ARATH.fasta
Sulfur amino-acid and glutathione supply	CGS	CGS	round2	cgs	PF01053.27	P55217/CGS1_ARATH/SV3	Arabidopsis thaliana	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	joint PF01053 maximum-likelihood phylogeny followed by nearest-reference assignment		synthase_features/hmmer_results/VSC/round2_results/CGS/PF01053.hmm;synthase_features/hmmer_results/VSC/round2_results/CGS/CGS1_ARATH.fasta
Sulfur amino-acid and glutathione supply	GSH1	GSH1	round2	gsh1	PF04107.19	Q9ZNX6/GSH1_MEDTR/SV1	Medicago truncatula	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/GSH1/PF04107.hmm;synthase_features/hmmer_results/VSC/round2_results/GSH1/GSH1_MEDTR.fasta
Sulfur amino-acid and glutathione supply	GSH2	GSH2	round2	gsh2	PF03199.22;PF03917.24	O23732/GSHB_BRAJU/SV1	Brassica juncea	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/GSH2/PF03199.hmm;synthase_features/hmmer_results/VSC/round2_results/GSH2/PF03917.hmm;synthase_features/hmmer_results/VSC/round2_results/GSH2/GSHB_BRAJU.fasta
Sulfur amino-acid and glutathione supply	OASTL	OASTL	round2	oastl	PF00291.32	P47999/CYSKP_ARATH/SV2	Arabidopsis thaliana	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/OASTL/PF00291.hmm;synthase_features/hmmer_results/VSC/round2_results/OASTL/CYSKP_ARATH.fasta
Conjugation, transfer, and redox chemistry	GST	GST	round1	gst	PF02798.27			score >= 50 and E-value <= 1e-5 in any listed Pfam-profile search	none		synthase_features/hmmer_results/VSC/GST/PF02798.hmm
Conjugation, transfer, and redox chemistry	GGT	GGT	round1	ggt	PF01019.27			score >= 50 and E-value <= 1e-5 in any listed Pfam-profile search	none		synthase_features/hmmer_results/VSC/GGT/PF01019.hmm
Conjugation, transfer, and redox chemistry	UGT	UGT	round2	ugt	PF00201.25	O48676/U74B1_ARATH/SV1	Arabidopsis thaliana	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/UGT/PF00201.hmm;synthase_features/hmmer_results/VSC/round2_results/UGT/U74B1_ARATH.fasta
Conjugation, transfer, and redox chemistry	SULT	SULT	round2	sult	PF00685.34	Q9C9D0/SOT16_ARATH/SV1	Arabidopsis thaliana	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/SULT/PF00685.hmm;synthase_features/hmmer_results/VSC/round2_results/SULT/SOT16_ARATH.fasta
Conjugation, transfer, and redox chemistry	FMO	FMO	round2	fmo	PF00743.26	Q9SXE1/GSOX3_ARATH/SV1	Arabidopsis thaliana	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/FMO/PF00743.hmm;synthase_features/hmmer_results/VSC/round2_results/FMO/GSOX3_ARATH.fasta
Conjugation, transfer, and redox chemistry	Rhodanese	Rhodanese	round2	rhodanese	PF00581.26	Q9FKW8/STR18_ARATH/SV1	Arabidopsis thaliana	score >= 50 and E-value <= 1e-5 in any listed Pfam-profile or full-length-reference search	none		synthase_features/hmmer_results/VSC/round2_results/Rhodanese/PF00581.hmm;synthase_features/hmmer_results/VSC/round2_results/Rhodanese/STR18_ARATH.fasta
Sulfur release and comparative reference architectures	CSCBL-like	CSCBL_like	round1		PF01053.27			score >= 50 and E-value <= 1e-5 in any listed Pfam-profile search	joint PF01053 maximum-likelihood phylogeny followed by nearest-reference assignment		synthase_features/hmmer_results/VSC/CSCBL_like/PF01053.hmm
Sulfur release and comparative reference architectures	MGL-Artocarpus	MGL_artocarpus	round1	mgl	PF01053.27			score >= 50 and E-value <= 1e-5 in any listed Pfam-profile search	joint PF01053 maximum-likelihood phylogeny followed by nearest-reference assignment		synthase_features/hmmer_results/VSC/MGL_artocarpus/PF01053.hmm
