#                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name              accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#      ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GMO.00002216.v1.g345800.t1 -          Lipoxygenase         PF00305.25         0 1075.9   0.0         0 1075.6   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00001513.v1.g189860.t1 -          Lipoxygenase         PF00305.25         0 1069.4   0.0         0 1069.2   0.0   1.1   1   0   0   1   1   1   1 -
GMO.00002356.v1.g504640.t1 -          Lipoxygenase         PF00305.25         0 1069.0   0.0         0 1068.8   0.0   1.1   1   0   0   1   1   1   1 -
GMO.00002216.v1.g345670.t1 -          Lipoxygenase         PF00305.25  1.7e-317 1059.5   0.0    2e-317 1059.2   0.0   1.1   1   0   0   1   1   1   1 -
GMO.00002216.v1.g345790.t1 -          Lipoxygenase         PF00305.25  4.8e-317 1058.1   0.0  5.3e-317 1057.9   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00001513.v1.g189850.t1 -          Lipoxygenase         PF00305.25    5e-317 1057.9   0.0  5.9e-317 1057.7   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002356.v1.g504630.t1 -          Lipoxygenase         PF00305.25    5e-317 1057.9   0.0  5.9e-317 1057.7   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002216.v1.g345780.t1 -          Lipoxygenase         PF00305.25  6.7e-316 1054.2   0.0  7.7e-316 1054.0   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00001513.v1.g189840.t1 -          Lipoxygenase         PF00305.25  1.8e-315 1052.8   0.0  2.1e-315 1052.6   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00001016.v1.g092500.t1 -          Lipoxygenase         PF00305.25  2.5e-315 1052.4   0.0  2.8e-315 1052.2   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002516.v1.g581300.t1 -          Lipoxygenase         PF00305.25  3.5e-315 1051.9   0.0    4e-315 1051.7   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002356.v1.g504770.t1 -          Lipoxygenase         PF00305.25  4.6e-315 1051.5   0.0  5.5e-315 1051.2   0.0   1.1   1   0   0   1   1   1   1 -
GMO.00001513.v1.g189890.t1 -          Lipoxygenase         PF00305.25  6.2e-315 1051.0   0.0  7.5e-315 1050.8   0.0   1.1   1   0   0   1   1   1   1 -
GMO.00000571.v1.g025000.t1 -          Lipoxygenase         PF00305.25  2.1e-313 1046.0   0.0  2.6e-313 1045.7   0.0   1.1   1   0   0   1   1   1   1 -
GMO.00002325.v1.g479150.t1 -          Lipoxygenase         PF00305.25  2.1e-313 1046.0   0.0  2.6e-313 1045.7   0.0   1.1   1   0   0   1   1   1   1 -
GMO.00002176.v1.g331990.t1 -          Lipoxygenase         PF00305.25  8.2e-313 1044.0   0.1    1e-312 1043.8   0.1   1.1   1   0   0   1   1   1   1 -
GMO.00002216.v1.g345680.t1 -          Lipoxygenase         PF00305.25  5.1e-312 1041.4   0.0  5.9e-312 1041.2   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002319.v1.g466540.t1 -          Lipoxygenase         PF00305.25  2.1e-311 1039.4   0.0  2.4e-311 1039.2   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002415.v1.g519410.t1 -          Lipoxygenase         PF00305.25  2.1e-311 1039.4   0.0  2.4e-311 1039.2   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002216.v1.g362160.t1 -          Lipoxygenase         PF00305.25  2.4e-310 1035.9   0.0  2.8e-310 1035.7   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002176.v1.g311800.t1 -          Lipoxygenase         PF00305.25    3e-310 1035.6   0.0  3.5e-310 1035.3   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002226.v1.g367190.t1 -          Lipoxygenase         PF00305.25  3.2e-310 1035.5   0.0  3.7e-310 1035.2   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00001513.v1.g189910.t1 -          Lipoxygenase         PF00305.25  6.1e-310 1034.6   0.8  1.6e-309 1033.1   0.5   1.7   2   0   0   2   2   2   1 -
GMO.00002356.v1.g504750.t1 -          Lipoxygenase         PF00305.25  2.1e-308 1029.5   0.9  6.6e-308 1027.8   0.5   1.7   2   0   0   2   2   2   1 -
GMO.00001513.v1.g189920.t1 -          Lipoxygenase         PF00305.25  1.7e-300 1003.4   0.7  2.1e-300 1003.1   0.7   1.1   1   0   0   1   1   1   1 -
GMO.00002356.v1.g504740.t1 -          Lipoxygenase         PF00305.25  7.1e-300 1001.3   0.7  8.8e-300 1001.0   0.7   1.1   1   0   0   1   1   1   1 -
GMO.00001513.v1.g189930.t1 -          Lipoxygenase         PF00305.25  1.2e-297  993.9   1.0  1.5e-297  993.6   1.0   1.1   1   0   0   1   1   1   1 -
GMO.00002356.v1.g504730.t1 -          Lipoxygenase         PF00305.25  2.2e-297  993.1   0.7  2.7e-297  992.7   0.7   1.1   1   0   0   1   1   1   1 -
GMO.00002356.v1.g504600.t1 -          Lipoxygenase         PF00305.25  8.5e-264  882.1   0.0  9.6e-264  881.9   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002218.v1.g365940.t1 -          Lipoxygenase         PF00305.25  8.9e-239  799.4   5.1  3.7e-210  704.8   1.2   2.0   1   1   1   2   2   2   2 -
GMO.00000789.v1.g067900.t1 -          Lipoxygenase         PF00305.25  2.5e-122  414.6   0.1  2.8e-122  414.4   0.1   1.0   1   0   0   1   1   1   1 -
GMO.00002176.v1.g311790.t2 -          Lipoxygenase         PF00305.25   9.9e-61  211.0   0.0   1.1e-60  210.9   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002176.v1.g311810.t1 -          Lipoxygenase         PF00305.25   1.2e-60  210.8   0.0   1.3e-60  210.6   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002787.v1.g684210.t2 -          Lipoxygenase         PF00305.25   2.7e-49  173.2   0.0   3.1e-49  173.0   0.0   1.0   1   0   0   1   1   1   1 -
GMO.00002356.v1.g504590.t1 -          Lipoxygenase         PF00305.25     8e-33  118.8   2.0     1e-32  118.4   2.0   1.1   1   0   0   1   1   1   1 -
GMO.00002176.v1.g318390.t1 -          Lipoxygenase         PF00305.25       6.2   10.1   0.1       8.1    9.7   0.1   1.1   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/agata/Documents/cannamatrix/Results/LOX/PF00305.hmm
# Target file:     /Users/agata/Documents/cannamatrix/genome_Cannabis_GMO/genes_v1/GMO.v1.primary_high_confidence.proteins.fasta
