gene_id	reporting_category	biochemical_context	original_families	resolution_group	family_resolution_method	family_resolution_status	nearest_reference_id	nearest_reference_family	nearest_reference_distance	hmmer_score	hmmer_evalue	length	source	sequence_scope	discovery_round	matched_protein_id	meme_status	meme_status_quality_aware	motif_support_quality	meme_evaluable	singleton_passthrough	n_motifs_found	n_motifs_expected	motif_ids	motif_best_evalue	motif_coverage	expected_domain_record_present	pfam_n_domains	pfam_domain_architecture	pfam_best_evalue	pfam_total_score	pfam_confirmation_rule	pfam_required_ids	pfam_required_n_domains	pfam_required_n_present	domain_confirmation_status	domain_validated	meme_biological_pass	meme_operational_pass	meme_pass	pfam_pass	pfam_status	pfam_gate_active	final_pass	final_outcome
GMO.00002805.v1.g688570.t1	adh	Oxylipin and volatile-product chemistry								118.2	6.6e-33	407	proteome_v1_exact	full_length	round1	GMO.00002805.v1.g688570.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.32e-16	0.8	true	2	both	4.1000000000000003e-38	200.7	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00000855.v1.g078750.t1	adh	Oxylipin and volatile-product chemistry								117.7	9.5e-33	326	proteome_v1_exact	full_length	round1	GMO.00000855.v1.g078750.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_10,motif_2,motif_3,motif_4,motif_7	2.75e-15	0.5	true	2	both	5.900000000000001e-38	184.4	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002523.v1.g604250.t1	adh	Oxylipin and volatile-product chemistry								117.6	1.1e-32	407	proteome_v1_exact	full_length	round1	GMO.00002523.v1.g604250.t1	confirmed	confirmed	strong_only	True	False	7	10	motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.32e-16	0.7	true	2	both	6.6e-38	200.1	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002319.v1.g463250.t1	adh	Oxylipin and volatile-product chemistry								115.6	4.3000000000000004e-32	326	proteome_v1_exact	full_length	round1	GMO.00002319.v1.g463250.t1	confirmed	confirmed	strong_only	True	False	5	10	motif_10,motif_2,motif_3,motif_4,motif_7	1.67e-15	0.5	true	2	both	2.6000000000000002e-37	182.3	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00001311.v1.g148430.t2	adh	Oxylipin and volatile-product chemistry								104.3	1.2e-28	347	proteome_v1_exact	full_length	round1	GMO.00001311.v1.g148430.t2	confirmed	confirmed	strong_only	True	False	7	10	motif_10,motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	1.47e-18	0.7	true	2	both	4.1e-34	195.5	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002500.v1.g571420.t2	adh	Oxylipin and volatile-product chemistry								104.3	1.2e-28	347	proteome_v1_exact	full_length	round1	GMO.00002500.v1.g571420.t2	confirmed	confirmed	strong_only	True	False	7	10	motif_10,motif_2,motif_3,motif_4,motif_7,motif_8,motif_9	1.47e-18	0.7	true	2	both	4.1e-34	198.1	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002592.v1.g625510.t1	adh	Oxylipin and volatile-product chemistry								100.9	1.3e-27	357	proteome_v1_exact	full_length	round1	GMO.00002592.v1.g625510.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.67e-51	0.8	true	2	both	7.4e-33	186.4	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00002283.v1.g429570.t1	adh	Oxylipin and volatile-product chemistry								100.1	2.3e-27	357	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g429570.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	1.67e-51	0.8	true	2	both	1.3000000000000001e-32	185.6	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00000895.v1.g083680.t1	adh	Oxylipin and volatile-product chemistry								99.2	4.4000000000000005e-27	357	proteome_v1_exact	full_length	round1	GMO.00000895.v1.g083680.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	7.93e-50	0.8	true	2	both	2.6000000000000003e-32	184.8	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
GMO.00000895.v1.g085880.t1	adh	Oxylipin and volatile-product chemistry								99.1	4.6e-27	356	proteome_v1_exact	full_length	round1	GMO.00000895.v1.g085880.t1	confirmed	confirmed	strong_only	True	False	8	10	motif_10,motif_2,motif_3,motif_4,motif_5,motif_7,motif_8,motif_9	7.95e-47	0.8	true	2	both	2.3e-32	189.4	all_required	PF00107,PF08240	2	2	complete	True	True	True	True	True	complete	True	True	retained
