gene_id	family	original_families	resolution_group	family_resolution_method	family_resolution_status	nearest_reference_id	nearest_reference_family	nearest_reference_distance	length	score	evalue	source	sequence_scope	discovery_round	matched_protein_id
GMO.00000743.v1.g064290.t1	CBL	CBL,CGS,CSCBL_like,MGL_artocarpus,MGL_cannabis,MGL_durio	plp_pf01053	pending_phylogeny	ambiguous_pre_resolution				468	745.7	4e-224	proteome_v1_exact	full_length	round2	GMO.00000743.v1.g064290.t1
GMO.00001343.v1.g162120.t1	CBL	CBL,CGS,CSCBL_like,MGL_artocarpus,MGL_cannabis,MGL_durio	plp_pf01053	pending_phylogeny	ambiguous_pre_resolution				542	901.3	5.6e-271	proteome_v1_exact	full_length	round2	GMO.00001343.v1.g162120.t1
GMO.00001385.v1.g173130.t1	CBL	CBL,CGS,CSCBL_like,MGL_artocarpus,MGL_cannabis,MGL_durio	plp_pf01053	pending_phylogeny	ambiguous_pre_resolution				542	901.3	5.6e-271	proteome_v1_exact	full_length	round2	GMO.00001385.v1.g173130.t1
GMO.00001695.v1.g225230.t1	CBL	CBL,CGS,CSCBL_like,MGL_artocarpus,MGL_cannabis,MGL_durio	plp_pf01053	pending_phylogeny	ambiguous_pre_resolution				448	285.6	1.2999999999999999e-83	proteome_v1_exact	full_length	round2	GMO.00001695.v1.g225230.t1
GMO.00002271.v1.g399560.t1	CBL	CBL,CGS,CSCBL_like,MGL_artocarpus,MGL_cannabis,MGL_durio	plp_pf01053	pending_phylogeny	ambiguous_pre_resolution				468	748.5	5.6e-225	proteome_v1_exact	full_length	round2	GMO.00002271.v1.g399560.t1
GMO.00002556.v1.g618800.t1	CBL	CBL,CGS,CSCBL_like,MGL_artocarpus,MGL_cannabis,MGL_durio	plp_pf01053	pending_phylogeny	ambiguous_pre_resolution				448	285.6	1.2999999999999999e-83	proteome_v1_exact	full_length	round2	GMO.00002556.v1.g618800.t1
