gene_id	family	biochemical_context	target_bin	length	score	evalue	source	sequence_scope	discovery_round	matched_protein_id	pfam_hit	full_length_reference_hit	passing_pfam_profiles	passing_full_length_reference_queries	search_route
GMO.00002805.v1.g688570.t1	ADH	Oxylipin and volatile-product chemistry	ADH	407	118.2	6.6e-33	proteome_v1_exact	full_length	round1	GMO.00002805.v1.g688570.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00000855.v1.g078750.t1	ADH	Oxylipin and volatile-product chemistry	ADH	326	117.7	9.5e-33	proteome_v1_exact	full_length	round1	GMO.00000855.v1.g078750.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002523.v1.g604250.t1	ADH	Oxylipin and volatile-product chemistry	ADH	407	117.6	1.1e-32	proteome_v1_exact	full_length	round1	GMO.00002523.v1.g604250.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002319.v1.g463250.t1	ADH	Oxylipin and volatile-product chemistry	ADH	326	115.6	4.3e-32	proteome_v1_exact	full_length	round1	GMO.00002319.v1.g463250.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001311.v1.g148430.t2	ADH	Oxylipin and volatile-product chemistry	ADH	347	104.3	1.2e-28	proteome_v1_exact	full_length	round1	GMO.00001311.v1.g148430.t2	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002500.v1.g571420.t2	ADH	Oxylipin and volatile-product chemistry	ADH	347	104.3	1.2e-28	proteome_v1_exact	full_length	round1	GMO.00002500.v1.g571420.t2	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002592.v1.g625510.t1	ADH	Oxylipin and volatile-product chemistry	ADH	357	100.9	1.3e-27	proteome_v1_exact	full_length	round1	GMO.00002592.v1.g625510.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002283.v1.g429570.t1	ADH	Oxylipin and volatile-product chemistry	ADH	357	100.1	2.3e-27	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g429570.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00000895.v1.g083680.t1	ADH	Oxylipin and volatile-product chemistry	ADH	357	99.2	4.4e-27	proteome_v1_exact	full_length	round1	GMO.00000895.v1.g083680.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00000895.v1.g085880.t1	ADH	Oxylipin and volatile-product chemistry	ADH	356	99.1	4.6e-27	proteome_v1_exact	full_length	round1	GMO.00000895.v1.g085880.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002453.v1.g538270.t1	ADH	Oxylipin and volatile-product chemistry	ADH	357	98.8	5.6e-27	proteome_v1_exact	full_length	round1	GMO.00002453.v1.g538270.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001311.v1.g148440.t1	ADH	Oxylipin and volatile-product chemistry	ADH	364	98.5	8.3e-27	proteome_v1_exact	full_length	round1	GMO.00001311.v1.g148440.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002453.v1.g536070.t1	ADH	Oxylipin and volatile-product chemistry	ADH	356	98.5	7.3e-27	proteome_v1_exact	full_length	round1	GMO.00002453.v1.g536070.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002500.v1.g571440.t1	ADH	Oxylipin and volatile-product chemistry	ADH	364	98.5	8.3e-27	proteome_v1_exact	full_length	round1	GMO.00002500.v1.g571440.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002283.v1.g425750.t2	ADH	Oxylipin and volatile-product chemistry	ADH	365	96.2	3.6e-26	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425750.t2	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002283.v1.g425720.t1	ADH	Oxylipin and volatile-product chemistry	ADH	365	95.6	5.8e-26	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425720.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001044.v1.g095260.t2	ADH	Oxylipin and volatile-product chemistry	ADH	365	95.3	6.9e-26	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095260.t2	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001044.v1.g095320.t1	ADH	Oxylipin and volatile-product chemistry	ADH	365	95.3	7e-26	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095320.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002497.v1.g564110.t1	ADH	Oxylipin and volatile-product chemistry	ADH	382	95.1	9.8e-26	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g564110.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002498.v1.g566020.t1	ADH	Oxylipin and volatile-product chemistry	ADH	382	95.0	1e-25	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g566020.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001207.v1.g119650.t1	ADH	Oxylipin and volatile-product chemistry	ADH	360	94.0	1.8e-25	proteome_v1_exact	full_length	round1	GMO.00001207.v1.g119650.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002283.v1.g430470.t1	ADH	Oxylipin and volatile-product chemistry	ADH	360	94.0	1.8e-25	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g430470.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002363.v1.g507560.t1	ADH	Oxylipin and volatile-product chemistry	ADH	381	94.0	2.1e-25	proteome_v1_exact	full_length	round1	GMO.00002363.v1.g507560.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00000574.v1.g030570.t2	ADH	Oxylipin and volatile-product chemistry	ADH	325	93.9	2.2e-25	proteome_v1_exact	full_length	round1	GMO.00000574.v1.g030570.t2	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001044.v1.g095250.t1	ADH	Oxylipin and volatile-product chemistry	ADH	355	93.6	2.5e-25	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095250.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001056.v1.g098710.t1	ADH	Oxylipin and volatile-product chemistry	ADH	349	93.6	2.8e-25	proteome_v1_exact	full_length	round1	GMO.00001056.v1.g098710.t1	true	false	PF00107.33		pfam_only
GMO.00001825.v1.g252830.t1	ADH	Oxylipin and volatile-product chemistry	ADH	401	93.4	3.3e-25	proteome_v1_exact	full_length	round1	GMO.00001825.v1.g252830.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001044.v1.g095310.t1	ADH	Oxylipin and volatile-product chemistry	ADH	359	92.9	4e-25	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095310.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002283.v1.g425730.t1	ADH	Oxylipin and volatile-product chemistry	ADH	359	92.9	4e-25	proteome_v1_exact	full_length	round1	GMO.00002283.v1.g425730.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002363.v1.g509900.t1	ADH	Oxylipin and volatile-product chemistry	ADH	349	90.5	2.4e-24	proteome_v1_exact	full_length	round1	GMO.00002363.v1.g509900.t1	true	false	PF00107.33		pfam_only
GMO.00002497.v1.g564520.t1	ADH	Oxylipin and volatile-product chemistry	ADH	379	89.8	4.1e-24	proteome_v1_exact	full_length	round1	GMO.00002497.v1.g564520.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002498.v1.g565590.t1	ADH	Oxylipin and volatile-product chemistry	ADH	379	89.8	4.1e-24	proteome_v1_exact	full_length	round1	GMO.00002498.v1.g565590.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00001343.v1.g156700.t1	ADH	Oxylipin and volatile-product chemistry	ADH	346	89.5	5.3e-24	proteome_v1_exact	full_length	round1	GMO.00001343.v1.g156700.t1	true	false	PF00107.33		pfam_only
GMO.00001385.v1.g178490.t1	ADH	Oxylipin and volatile-product chemistry	ADH	346	89.4	5.6e-24	proteome_v1_exact	full_length	round1	GMO.00001385.v1.g178490.t1	true	false	PF00107.33		pfam_only
GMO.00000531.v1.g012880.t1	ADH	Oxylipin and volatile-product chemistry	ADH	344	89.2	6.6e-24	proteome_v1_exact	full_length	round1	GMO.00000531.v1.g012880.t1	true	false	PF00107.33		pfam_only
GMO.00000532.v1.g019730.t1	ADH	Oxylipin and volatile-product chemistry	ADH	344	89.2	6.6e-24	proteome_v1_exact	full_length	round1	GMO.00000532.v1.g019730.t1	true	false	PF00107.33		pfam_only
GMO.00001570.v1.g197300.t2	ADH	Oxylipin and volatile-product chemistry	ADH	342	89.2	6.5e-24	proteome_v1_exact	full_length	round1	GMO.00001570.v1.g197300.t2	true	false	PF00107.33		pfam_only
GMO.00002253.v1.g378530.t1	ADH	Oxylipin and volatile-product chemistry	ADH	386	89.1	7e-24	proteome_v1_exact	full_length	round1	GMO.00002253.v1.g378530.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002557.v1.g619440.t1	ADH	Oxylipin and volatile-product chemistry	ADH	357	89.0	6.4e-24	proteome_v1_exact	full_length	round1	GMO.00002557.v1.g619440.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002785.v1.g683860.t1	ADH	Oxylipin and volatile-product chemistry	ADH	357	89.0	6.4e-24	proteome_v1_exact	full_length	round1	GMO.00002785.v1.g683860.t1	true	false	PF00107.33;PF08240.18		pfam_only
GMO.00002523.v1.g600910.t1	ADH	Oxylipin and volatile-product chemistry	ADH	207	88.3	1.1e-23	proteome_v1_exact	full_length	round1	GMO.00002523.v1.g600910.t1	true	false	PF08240.18		pfam_only
GMO.00001044.v1.g095330.t1	ADH	Oxylipin and volatile-product chemistry	ADH	362	87.9	1.4e-23	proteome_v1_exact	full_length	round1	GMO.00001044.v1.g095330.t1	true	false	PF00107.33;PF08240.18		pfam_only
