leaf_id	reference_id	family	description
REF__cbl__1	P53780	CBL	P53780 family=CBL species=Arabidopsis_thaliana source=UniProt reviewed=yes uniprot=P53780
REF__cgs__2	P55217	CGS	P55217 family=CGS species=Arabidopsis_thaliana source=UniProt reviewed=yes uniprot=P55217
REF__mgl__3	Q9SGU9	MGL	Q9SGU9 family=MGL species=Arabidopsis_thaliana source=UniProt reviewed=yes uniprot=Q9SGU9
REF__cgs__4	A0A2P5AL59	CGS	A0A2P5AL59 family=CGS species=Parasponia_andersonii source=UniProt reviewed=no uniprot=A0A2P5AL59
REF__cbl__5	A0A2P5B9E6	CBL	A0A2P5B9E6 family=CBL species=Trema_orientale source=UniProt reviewed=no uniprot=A0A2P5B9E6
REF__cbl__6	A0A2P5DP21	CBL	A0A2P5DP21 family=CBL species=Parasponia_andersonii source=UniProt reviewed=no uniprot=A0A2P5DP21
REF__cgs__7	A0A2P5FEZ3	CGS	A0A2P5FEZ3 family=CGS species=Trema_orientale source=UniProt reviewed=no uniprot=A0A2P5FEZ3
REF__mgl__8	A0A2P6P439	MGL	A0A2P6P439 family=MGL species=Rosa_chinensis source=UniProt reviewed=no uniprot=A0A2P6P439
REF__cbl__9	A0A2P6RTI2	CBL	A0A2P6RTI2 family=CBL species=Rosa_chinensis source=UniProt reviewed=no uniprot=A0A2P6RTI2
REF__cgs__10	A0A2P6S4B7	CGS	A0A2P6S4B7 family=CGS species=Rosa_chinensis source=UniProt reviewed=no uniprot=A0A2P6S4B7
REF__cgs__11	A0A498HCV8	CGS	A0A498HCV8 family=CGS species=Malus_domestica source=UniProt reviewed=no uniprot=A0A498HCV8
REF__cbl__12	A0A498IFP4	CBL	A0A498IFP4 family=CBL species=Malus_domestica source=UniProt reviewed=no uniprot=A0A498IFP4
REF__mgl__13	A0A540NGT8	MGL	A0A540NGT8 family=MGL species=Malus_baccata source=UniProt reviewed=no uniprot=A0A540NGT8
REF__mgl__14	A0A6J5UXW9	MGL	A0A6J5UXW9 family=MGL species=Prunus_armeniaca source=UniProt reviewed=no uniprot=A0A6J5UXW9
REF__cbl__15	A0A7J6FLL3	CBL	A0A7J6FLL3 family=CBL species=Cannabis_sativa source=UniProt reviewed=no uniprot=A0A7J6FLL3
